Fecha,pry_ppl_smooth_censal,Modelo
2017-01-15,122298.889998012,Razón Censal
2017-02-15,122465.88268775,Razón Censal
2017-03-15,122638.208470919,Razón Censal
2017-04-15,122814.216338632,Razón Censal
2017-05-15,122992.255282005,Razón Censal
2017-06-15,123170.67429215,Razón Censal
2017-07-15,123347.656297543,Razón Censal
2017-08-15,123523.450600799,Razón Censal
2017-09-15,123698.140441893,Razón Censal
2017-10-15,123871.809060803,Razón Censal
2017-11-15,124044.539697504,Razón Censal
2017-12-15,124216.415591971,Razón Censal
2018-01-15,124387.519984182,Razón Censal
2018-02-15,124557.936114111,Razón Censal
2018-03-15,124727.747221736,Razón Censal
2018-04-15,124897.036547032,Razón Censal
2018-05-15,125065.887329976,Razón Censal
2018-06-15,125234.382810543,Razón Censal
2018-07-15,125402.613872148,Razón Censal
2018-08-15,125570.57628828,Razón Censal
2018-09-15,125738.273475865,Razón Censal
2018-10-15,125905.708851828,Razón Censal
2018-11-15,126072.885833098,Razón Censal
2018-12-15,126239.807836601,Razón Censal
2019-01-15,126406.478279262,Razón Censal
2019-02-15,126572.90057801,Razón Censal
2019-03-15,126739.07814977,Razón Censal
2019-04-15,126905.01441147,Razón Censal
2019-05-15,127070.712780035,Razón Censal
2019-06-15,127236.176672393,Razón Censal
2019-07-15,127401.407988904,Razón Censal
2019-08-15,127566.427501074,Razón Censal
2019-09-15,127731.254463844,Razón Censal
2019-10-15,127895.908132153,Razón Censal
2019-11-15,128060.407760941,Razón Censal
2019-12-15,128224.772605149,Razón Censal
2020-01-15,128389.021919717,Razón Censal
2020-02-15,128553.174959584,Razón Censal
2020-03-15,128717.25097969,Razón Censal
2020-04-15,128881.269234977,Razón Censal
2020-05-15,129045.248980383,Razón Censal
2020-06-15,129209.20947085,Razón Censal
