"Fecha","pry_ppl_smooth_censal"
2017-01-15,122298.889998012
2017-02-15,122465.88268775
2017-03-15,122638.208470919
2017-04-15,122814.216338632
2017-05-15,122992.255282005
2017-06-15,123170.67429215
2017-07-15,123347.656297543
2017-08-15,123523.450600799
2017-09-15,123698.140441893
2017-10-15,123871.809060803
2017-11-15,124044.539697504
2017-12-15,124216.415591971
2018-01-15,124387.519984182
2018-02-15,124557.936114111
2018-03-15,124727.747221736
2018-04-15,124897.036547032
2018-05-15,125065.887329976
2018-06-15,125234.382810543
2018-07-15,125402.613872148
2018-08-15,125570.57628828
2018-09-15,125738.273475865
2018-10-15,125905.708851828
2018-11-15,126072.885833098
2018-12-15,126239.807836601
2019-01-15,126406.478279262
2019-02-15,126572.90057801
2019-03-15,126739.07814977
2019-04-15,126905.01441147
2019-05-15,127070.712780035
2019-06-15,127236.176672393
2019-07-15,127401.407988904
2019-08-15,127566.427501074
2019-09-15,127731.254463844
2019-10-15,127895.908132153
2019-11-15,128060.407760941
2019-12-15,128224.772605149
2020-01-15,128389.021919717
2020-02-15,128553.174959584
2020-03-15,128717.25097969
2020-04-15,128881.269234977
2020-05-15,129045.248980383
2020-06-15,129209.20947085
